epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
94,831.044,1.2524,0.49117,0.00256,0.87103,0.77311,0.84408,0.35479,2.11112,0.8792,0.00588,0.00379032,0.00126344,0.00379032,0.00126344,0.00379032,0.00126344,0.00379032,0.00126344
95,839.843,1.23116,0.49404,0.00258,0.83857,0.82941,0.87416,0.36124,2.15078,0.87295,0.00594,0.00376656,0.00125552,0.00376656,0.00125552,0.00376656,0.00125552,0.00376656,0.00125552
96,848.626,1.27868,0.54246,0.00264,0.79442,0.81183,0.85523,0.37912,2.09838,0.83085,0.00581,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
97,857.666,1.25302,0.52864,0.00251,0.85295,0.79832,0.89384,0.39265,2.10384,0.85466,0.00581,0.00371904,0.00123968,0.00371904,0.00123968,0.00371904,0.00123968,0.00371904,0.00123968
98,866.539,1.21237,0.49428,0.00251,0.89673,0.80672,0.90426,0.37773,2.12889,0.90488,0.0059,0.00369528,0.00123176,0.00369528,0.00123176,0.00369528,0.00123176,0.00369528,0.00123176
99,875.372,1.21171,0.48292,0.00249,0.92217,0.79658,0.89556,0.38238,2.12283,0.91892,0.00597,0.00367152,0.00122384,0.00367152,0.00122384,0.00367152,0.00122384,0.00367152,0.00122384
100,884.237,1.24339,0.4775,0.00262,0.85297,0.82353,0.88208,0.37937,2.10959,0.87865,0.00589,0.00364776,0.00121592,0.00364776,0.00121592,0.00364776,0.00121592,0.00364776,0.00121592
101,893.293,1.23396,0.51282,0.0025,0.8854,0.84405,0.88869,0.38049,2.15642,0.86236,0.00601,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
102,902.124,1.20675,0.47656,0.00247,0.88522,0.77771,0.87951,0.37514,2.17846,0.98832,0.00602,0.00360024,0.00120008,0.00360024,0.00120008,0.00360024,0.00120008,0.00360024,0.00120008
103,910.865,1.19388,0.48989,0.00243,0.83126,0.82797,0.87504,0.37182,2.12805,0.96029,0.00588,0.00357648,0.00119216,0.00357648,0.00119216,0.00357648,0.00119216,0.00357648,0.00119216
104,919.723,1.23178,0.50144,0.00243,0.8422,0.85215,0.88097,0.35997,2.14162,0.87954,0.00596,0.00355272,0.00118424,0.00355272,0.00118424,0.00355272,0.00118424,0.00355272,0.00118424
105,928.655,1.19911,0.47237,0.00243,0.86146,0.83193,0.88076,0.3743,2.12949,0.92855,0.0058,0.00352896,0.00117632,0.00352896,0.00117632,0.00352896,0.00117632,0.00352896,0.00117632
106,937.584,1.21062,0.45483,0.00249,0.85138,0.81837,0.874,0.37537,2.13992,0.85619,0.00596,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
107,946.473,1.22731,0.51965,0.00248,0.82751,0.8466,0.8627,0.36355,2.14258,0.91445,0.00601,0.00348144,0.00116048,0.00348144,0.00116048,0.00348144,0.00116048,0.00348144,0.00116048
108,955.285,1.15718,0.46168,0.00241,0.91675,0.77311,0.88593,0.35316,2.1209,1.03807,0.00596,0.00345768,0.00115256,0.00345768,0.00115256,0.00345768,0.00115256,0.00345768,0.00115256
109,964.006,1.20223,0.50412,0.00241,0.85631,0.80672,0.88529,0.36819,2.1886,1.00222,0.00606,0.00343392,0.00114464,0.00343392,0.00114464,0.00343392,0.00114464,0.00343392,0.00114464
110,973.918,1.19951,0.45652,0.0024,0.83439,0.84034,0.86498,0.37374,2.16205,1.01412,0.00597,0.00341016,0.00113672,0.00341016,0.00113672,0.00341016,0.00113672,0.00341016,0.00113672
111,982.728,1.17807,0.46728,0.0024,0.89043,0.81953,0.87547,0.36199,2.21157,0.96952,0.00615,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
112,991.601,1.16978,0.46173,0.00233,0.87909,0.80672,0.86787,0.38281,2.14329,1.04291,0.00597,0.00336264,0.00112088,0.00336264,0.00112088,0.00336264,0.00112088,0.00336264,0.00112088
113,1000.41,1.14267,0.4356,0.00225,0.82134,0.81127,0.85929,0.37397,2.10441,1.09003,0.00577,0.00333888,0.00111296,0.00333888,0.00111296,0.00333888,0.00111296,0.00333888,0.00111296
